IcdIn,IcdCIn,IcdOut1,IcdOut2,IcdOut3,Type,Prompt,Origin,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"I6199",,"I6199",,,"Before","Intracerebral hemorrhage, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I630",,"I6309",,,"USCreated","Cerebral infarction due to thrombosis of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I630",,"I6300",,,"USCreated","Cerebral infarction due to multiple thrombi of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6300",,"I6300",,,"Before","Cerebral infarction due to multiple thrombi of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6309",,"I6309",,,"Before","Cerebral infarction due to thrombosis of precerebral arteries","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I631",,"I6310",,,"USCreated","Cerebral infarction due to multiple emboli of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I631",,"I6319",,,"USCreated","Cerebral infarction due to embolism of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6310",,"I6310",,,"Before","Cerebral infarction due to multiple emboli of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6319",,"I6319",,,"Before","Cerebral infarction due to embolism of precerebral arteries","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I632",,"I6320",,,"USCreated","Cerebral infarction due to multiple unspecified occlusion or stenosis of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I632",,"I6329",,,"USCreated","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6320",,"I6320",,,"Before","Cerebral infarction due to multiple unspecified occlusion or stenosis of precerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6329",,"I6329",,,"Before","Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I633",,"I6339",,,"USCreated","Cerebral infarction due to thrombosis of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I633",,"I6330",,,"USCreated","Cerebral infarction due to multiple thrombi of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6330",,"I6330",,,"Before","Cerebral infarction due to multiple thrombi of cerebral arteries","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6339",,"I6339",,,"Before","Cerebral infarction due to thrombosis of cerebral arteries","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
