Icd,Label,Asterisk,AffectedByInterval,AffectedByStatus,NationalExtension,ActionVar,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"A400","Sepsis due to streptococcus, group A",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A401","Sepsis due to streptococcus, group B",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A402","Sepsis due to streptococcus group D and enterococcus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A403","Sepsis due to Streptococcus pneumoniae",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A408","Other streptococcal sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A409","Streptococcal sepsis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A410","Sepsis due to Staphylococcus aureus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A411","Sepsis due to other specified staphylococcus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A412","Sepsis due to unspecified staphylococcus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A413","Sepsis due to Haemophilus influenzae",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A414","Sepsis due to anaerobes",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A415","Sepsis due to other Gram-negative organisms",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A418","Other specified sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A419","Sepsis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A420","Pulmonary actinomycosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A421","Abdominal actinomycosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A422","Cervicofacial actinomycosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A427","Actinomycotic sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A428","Other forms of actinomycosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A429","Actinomycosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A430","Pulmonary nocardiosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A431","Cutaneous nocardiosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A438","Other forms of nocardiosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A439","Nocardiosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A440","Systemic bartonellosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A441","Cutaneous and mucocutaneous bartonellosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A448","Other forms of bartonellosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A449","Bartonellosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A46","Erysipelas",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A480","Gas gangrene",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A481","Legionnaires disease",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A482","Nonpneumonic Legionnaires disease [Pontiac fever]",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A483","Toxic shock syndrome",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A484","Brazilian purpuric fever",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A488","Other specified bacterial diseases",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A490","Staphylococcal infection, unspecified site",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A491","Streptococcal infection, unspecified site",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A492","Haemophilus influenzae infection, unspecified site",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A493","Mycoplasma infection, unspecified site",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A498","Other bacterial infections of unspecified site",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A499","Bacterial infection, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A500","Early congenital syphilis, symptomatic",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A501","Early congenital syphilis, latent",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
