id,label,code,source
1D42D54567EE953E,Other specified bacterial diseases,A488,SpecV2021SR40
995AC127CC00A62F,Bacterial infection of unspecified site,A49,SpecV2021SR40
5A78A6E349AC6DAB,"Staphylococcal infection, unspecified site",A490,SpecV2021SR40
2EED91EB280B20E1,"Streptococcal infection, unspecified site",A491,SpecV2021SR40
FFFF721A591D1A1E,"Haemophilus influenzae infection, unspecified site",A492,SpecV2021SR40
976E78C973B82BC1,"Mycoplasma infection, unspecified site",A493,SpecV2021SR40
BB32EE51CC5AFC74,Other bacterial infections of unspecified site,A498,SpecV2021SR40
8EF9D5C797E69AB1,"Bacterial infection, unspecified",A499,SpecV2021SR40
6C77F10B159EC532,Congenital syphilis,A50,SpecV2021SR40
A50FFB844EE49231,"Early congenital syphilis, symptomatic",A500,SpecV2021SR40
89C22C95C2266F20,"Early congenital syphilis, latent",A501,SpecV2021SR40
A72857C236BBAD26,"Early congenital syphilis, unspecified",A502,SpecV2021SR40
EBA33F18601109C8,Late congenital syphilitic oculopathy,A503,SpecV2021SR40
D312E931F2EEEE39,Late congenital neurosyphilis [juvenile neurosyphilis],A504,SpecV2021SR40
2EBD10EB66F95310,"Other late congenital syphilis, symptomatic",A505,SpecV2021SR40
7EA204AE0C148186,"Late congenital syphilis, latent",A506,SpecV2021SR40
74B182AC0E5922E8,"Late congenital syphilis, unspecified",A507,SpecV2021SR40
57566E20DEF55124,"Congenital syphilis, unspecified",A509,SpecV2021SR40
D8E96C0893FFA457,Early syphilis,A51,SpecV2021SR40
3A07BD9AB81C6506,Primary genital syphilis,A510,SpecV2021SR40
5ECCEAD4B4246237,Primary anal syphilis,A511,SpecV2021SR40
E7C315792C0017B7,Primary syphilis of other sites,A512,SpecV2021SR40
78470072FBE11EB0,Secondary syphilis of skin and mucous membranes,A513,SpecV2021SR40
8A5A299BD72F1707,Other secondary syphilis,A514,SpecV2021SR40
84AE80E32E1C80FF,"Early syphilis, latent",A515,SpecV2021SR40
105C961AF52B38FD,"Early syphilis, unspecified",A519,SpecV2021SR40
D16E51462A2F8CE1,Late syphilis,A52,SpecV2021SR40
E5758516A7DC1AEB,Cardiovascular syphilis,A520,SpecV2021SR40
B706F661A2CFEFA1,Symptomatic neurosyphilis,A521,SpecV2021SR40
7167A55D5CC3979B,Asymptomatic neurosyphilis,A522,SpecV2021SR40
6643731D7B0918C0,"Neurosyphilis, unspecified",A523,SpecV2021SR40
15217170785E06FF,Other symptomatic late syphilis,A527,SpecV2021SR40
DABB76D3CE4E25EF,"Late syphilis, latent",A528,SpecV2021SR40
12A3C524535851D2,"Late syphilis, unspecified",A529,SpecV2021SR40
30FCDBE87FEE9C3E,Other and unspecified syphilis,A53,SpecV2021SR40
E9B4C513A085D49A,"Latent syphilis, unspecified as early or late",A530,SpecV2021SR40
4FF67672AD77F323,"Syphilis, unspecified",A539,SpecV2021SR40
389914B485C01136,Gonococcal infection,A54,SpecV2021SR40
6E7E329186CDEF0B,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A540,SpecV2021SR40
1D4D5C570D1A314E,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A541,SpecV2021SR40
7F0C837BDE03CCFE,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,A542,SpecV2021SR40
68FA209A171259EE,Gonococcal infection of eye,A543,SpecV2021SR40
F5071FEA384039DC,Gonococcal infection of musculoskeletal system,A544,SpecV2021SR40
B49BE800A1AACCB8,Gonococcal pharyngitis,A545,SpecV2021SR40
A835143E4836212F,Gonococcal infection of anus and rectum,A546,SpecV2021SR40
8B19B2420B94DB8C,Other gonococcal infections,A548,SpecV2021SR40
D4361D0581FC437A,"Gonococcal infection, unspecified",A549,SpecV2021SR40
6A43BEE9F5D7AA5B,Chlamydial lymphogranuloma (venereum),A55,SpecV2021SR40
53175911E74DA42E,Other sexually transmitted chlamydial diseases,A56,SpecV2021SR40
5174A197899CC186,Chlamydial infection of lower genitourinary tract,A560,SpecV2021SR40
3B5F456A427CC1D7,Chlamydial infection of pelviperitoneum and other genitourinary organs,A561,SpecV2021SR40
F1CEAC14330C70FA,"Chlamydial infection of genitourinary tract, unspecified",A562,SpecV2021SR40
FB2B0C17C5A3A201,Chlamydial infection of anus and rectum,A563,SpecV2021SR40
594FA204556401FA,Chlamydial infection of pharynx,A564,SpecV2021SR40
E33724656ADAAB21,Sexually transmitted chlamydial infection of other sites,A568,SpecV2021SR40
1F34C11217AFBA44,Chancroid,A57,SpecV2021SR40
D5ED3FA381804E45,Granuloma inguinale,A58,SpecV2021SR40
AD6915FE2CD2AE60,Trichomoniasis,A59,SpecV2021SR40
77D187F78BDB83E6,Urogenital trichomoniasis,A590,SpecV2021SR40
3FF823EC64C66398,Trichomoniasis of other sites,A598,SpecV2021SR40
CFE92F55EFA31343,"Trichomoniasis, unspecified",A599,SpecV2021SR40
98BEDB51E83C4375,Anogenital herpesviral [herpes simplex] infection,A60,SpecV2021SR40
BFF44E520333B005,Herpesviral infection of genitalia and urogenital tract,A600,SpecV2021SR40
32D4DFD73B0ADD5F,Herpesviral infection of perianal skin and rectum,A601,SpecV2021SR40
1D951110B07EE293,"Anogenital herpesviral infection, unspecified",A609,SpecV2021SR40
F6681EBD8510F967,"Other predominantly sexually transmitted diseases, not elsewhere classified",A63,SpecV2021SR40
7EBE37843DFCC339,Anogenital (venereal) warts,A630,SpecV2021SR40
0B04B5822C787AE4,Other specified predominantly sexually transmitted diseases,A638,SpecV2021SR40
FD02E33ACD2A84F9,Unspecified sexually transmitted disease,A64,SpecV2021SR40
6B8329377F83132E,Nonvenereal syphilis,A65,SpecV2021SR40
4CA1B4D7C55FCFEE,Yaws,A66,SpecV2021SR40
4C16EB1B074AC375,Initial lesions of yaws,A660,SpecV2021SR40
85653CD9B104EAD0,Multiple papillomata and wet crab yaws,A661,SpecV2021SR40
3837314820202FB1,Other early skin lesions of yaws,A662,SpecV2021SR40
E4B3B86F0A73B788,Hyperkeratosis of yaws,A663,SpecV2021SR40
0B5C1B879F70C0EE,Gummata and ulcers of yaws,A664,SpecV2021SR40
A1681FDF150D7BDC,Gangosa,A665,SpecV2021SR40
8CCA2B2AA25E984C,Bone and joint lesions of yaws,A666,SpecV2021SR40
A34E85C4264F7BED,Other manifestations of yaws,A667,SpecV2021SR40
83E607861B7450CC,Latent yaws,A668,SpecV2021SR40
915DC5C1B1F06672,"Yaws, unspecified",A669,SpecV2021SR40
8FCA9749591E926E,Pinta [carate],A67,SpecV2021SR40
3308823103508CDD,Primary lesions of pinta,A670,SpecV2021SR40
EA1B649E89D573C6,Intermediate lesions of pinta,A671,SpecV2021SR40
923F72A3CDC6F074,Late lesions of pinta,A672,SpecV2021SR40
824D54B2361FAE0F,Mixed lesions of pinta,A673,SpecV2021SR40
A4FF037FA4951A79,"Pinta, unspecified",A679,SpecV2021SR40
8BDFADE9C3D99DF1,Relapsing fevers,A68,SpecV2021SR40
868242C4FA8BC762,Louse-borne relapsing fever,A680,SpecV2021SR40
AF3F6E55596A16CC,Tick-borne relapsing fever,A681,SpecV2021SR40
7175209A80AA6281,"Relapsing fever, unspecified",A689,SpecV2021SR40
8A4EF336E2CF060C,Other spirochaetal infections,A69,SpecV2021SR40
BDBFFC649A434FAC,Necrotizing ulcerative stomatitis,A690,SpecV2021SR40
