id,label,code,chapter_no,chapter_range,chapter_name,subchapter_code,subchapter_name,ncd_cd_injuries,ill_defined
0d62d143-3ae6-46bf-956c-9c799bbbc805,Pneumonia pseudomonas,J151,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
3b8aebe0-c7e5-448a-942c-991b7f7e0d57,Pneumonia sepsis,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
93641c6d-2a27-43a8-ab88-18cf65cc247b,Pneumonias,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
abc11b60-5370-4fca-a2bb-6e0c4856ff95,Pneumonic aspiration,J690,X,J00-J99,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,Noncommunicable diseases,No
5e840663-87d6-4f54-a18e-fc89d7fbfbe7,Pneumonic consolidation lung,J181,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
7e40b0c5-f6c8-4bec-b01a-ed2a85827fc9,Pneumonic infiltrate,J82,X,J00-J99,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,Noncommunicable diseases,No
2201a657-a03c-4737-a0a6-43934a0609b9,Pneumonic infiltration,J82,X,J00-J99,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,Noncommunicable diseases,No
d6d52ef4-7908-43be-9d37-76e1c2b94771,Pneumonic oesophageal reflux,K219,XI,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",Noncommunicable diseases,No
c10fd8f4-2ce5-498a-acf2-49fead37b78e,Pneumonic oesophagus reflux,K219,XI,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",Noncommunicable diseases,No
4c58064a-6d04-4c3c-acce-b7ab66d40e4f,Pneumonic plague,A202,I,A00-B99,Certain infectious and parasitic diseases,,,Communicable diseases,No
c8c5eaef-31a2-4530-8a49-710f2b02657b,Pneumonic septicaemia,J984,X,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,Noncommunicable diseases,No
a7c4c74e-fb91-4f42-8d8b-c0a92200d23b,Pneumonitis,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
d2ebc891-700b-4dba-b755-a7f6a23d374a,Pneumopathy,J9849,X,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,Noncommunicable diseases,No
9e91c956-f9c4-4e1c-bcc5-762d9d4241b9,Pneumopericarditis,I319,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
475d5dcb-702b-41df-83f9-069b365a02df,Pneumopericardium,I309,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
