code;label;terminal;underlyingCauseUse;usCreated;nonCreatedCode
A600;Herpesviral infection of genitalia and urogenital tract;1;1;0;
A601;Herpesviral infection of perianal skin and rectum;1;1;0;
A609;Anogenital herpesviral infection, unspecified;1;1;0;
A63;Other predominantly sexually transmitted diseases, not elsewhere classified;0;0;0;
A630;Anogenital (venereal) warts;1;1;0;
A638;Other specified predominantly sexually transmitted diseases;1;1;0;
A64;Unspecified sexually transmitted disease;1;1;0;
A65;Nonvenereal syphilis;1;1;0;
A66;Yaws;0;0;0;
A660;Initial lesions of yaws;1;1;0;
A661;Multiple papillomata and wet crab yaws;1;1;0;
A662;Other early skin lesions of yaws;1;1;0;
A663;Hyperkeratosis of yaws;1;1;0;
A664;Gummata and ulcers of yaws;1;1;0;
A665;Gangosa;1;1;0;
A666;Bone and joint lesions of yaws;1;1;0;
A667;Other manifestations of yaws;1;1;0;
A668;Latent yaws;1;1;0;
A669;Yaws, unspecified;1;1;0;
A67;Pinta [carate];0;0;0;
A670;Primary lesions of pinta;1;1;0;
A671;Intermediate lesions of pinta;1;1;0;
A672;Late lesions of pinta;1;1;0;
A673;Mixed lesions of pinta;1;1;0;
A679;Pinta, unspecified;1;1;0;
A68;Relapsing fevers;0;0;0;
A680;Louse-borne relapsing fever;1;1;0;
A681;Tick-borne relapsing fever;1;1;0;
A689;Relapsing fever, unspecified;1;1;0;
A69;Other spirochaetal infections;0;0;0;
A690;Necrotizing ulcerative stomatitis;1;1;0;
A691;Other Vincent infections;1;1;0;
A692;Lyme disease;1;1;0;
A698;Other specified spirochaetal infections;1;1;0;
A699;Spirochaetal infection, unspecified;1;1;0;
A70;Chlamydia psittaci infection;1;1;0;
A71;Trachoma;0;0;0;
A710;Initial stage of trachoma;1;1;0;
A711;Active stage of trachoma;1;1;0;
A719;Trachoma, unspecified;1;1;0;
A74;Other diseases caused by chlamydiae;0;0;0;
A740;Chlamydial conjunctivitis;1;1;0;
A748;Other chlamydial diseases;1;1;0;
A749;Chlamydial infection, unspecified;1;1;0;
A75;Typhus fever;0;0;0;
A750;Epidemic louse-borne typhus fever due to Rickettsia prowazekii;1;1;0;
A751;Recrudescent typhus [Brill disease];1;1;0;
A752;Typhus fever due to Rickettsia typhi;1;1;0;
A753;Typhus fever due to Rickettsia tsutsugamushi;1;1;0;
A759;Typhus fever, unspecified;1;1;0;
A77;Spotted fever [tick-borne rickettsioses];0;0;0;
A770;Spotted fever due to Rickettsia rickettsii;1;1;0;
A771;Spotted fever due to Rickettsia conorii;1;1;0;
A772;Spotted fever due to Rickettsia sibirica;1;1;0;
A773;Spotted fever due to Rickettsia australis;1;1;0;
A778;Other spotted fevers;1;1;0;
A779;Spotted fever, unspecified;1;1;0;
A78;Q fever;1;1;0;
A79;Other rickettsioses;0;0;0;
A790;Trench fever;1;1;0;
A791;Rickettsialpox due to Rickettsia akari;1;1;0;
A798;Other specified rickettsioses;1;1;0;
A799;Rickettsiosis, unspecified;1;1;0;
A80;Acute poliomyelitis;0;0;0;
A800;Acute paralytic poliomyelitis, vaccine-associated;1;1;0;
A801;Acute paralytic poliomyelitis, wild virus, imported;1;1;0;
A802;Acute paralytic poliomyelitis, wild virus, indigenous;1;1;0;
A803;Acute paralytic poliomyelitis, other and unspecified;1;1;0;
A804;Acute nonparalytic poliomyelitis;1;1;0;
A809;Acute poliomyelitis, unspecified;1;1;0;
A81;Atypical virus infections of central nervous system;0;0;0;
A810;Creutzfeldt-Jakob disease;1;1;0;
A811;Subacute sclerosing panencephalitis;1;1;0;
A812;Progressive multifocal leukoencephalopathy;1;1;0;
A818;Other atypical virus infections of central nervous system;1;1;0;
A819;Atypical virus infection of central nervous system, unspecified;1;1;0;
A82;Rabies;0;0;0;
A820;Sylvatic rabies;1;1;0;
A821;Urban rabies;1;1;0;
A829;Rabies, unspecified;1;1;0;
A83;Mosquito-borne viral encephalitis;0;0;0;
A830;Japanese encephalitis;1;1;0;
A831;Western equine encephalitis;1;1;0;
A832;Eastern equine encephalitis;1;1;0;
A833;St Louis encephalitis;1;1;0;
A834;Australian encephalitis;1;1;0;
A835;California encephalitis;1;1;0;
A836;Rocio virus disease;1;1;0;
A838;Other mosquito-borne viral encephalitis;1;1;0;
A839;Mosquito-borne viral encephalitis, unspecified;1;1;0;
A84;Tick-borne viral encephalitis;0;0;0;
A840;Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis];1;1;0;
A841;Central European tick-borne encephalitis;1;1;0;
A848;Other tick-borne viral encephalitis;1;1;0;
A849;Tick-borne viral encephalitis, unspecified;1;1;0;
A85;Other viral encephalitis, not elsewhere classified;0;0;0;
A850;Enteroviral encephalitis;1;1;0;
A851;Adenoviral encephalitis;1;1;0;
A852;Arthropod-borne viral encephalitis, unspecified;1;1;0;
A858;Other specified viral encephalitis;1;1;0;
A86;Unspecified viral encephalitis;1;1;0;
A87;Viral meningitis;0;0;0;
A870;Enteroviral meningitis;1;1;0;
A871;Adenoviral meningitis;1;1;0;
A872;Lymphocytic choriomeningitis;1;1;0;
A878;Other viral meningitis;1;1;0;
A879;Viral meningitis, unspecified;1;1;0;
A88;Other viral infections of central nervous system, not elsewhere classified;0;0;0;
A880;Enteroviral exanthematous fever [Boston exanthem];1;1;0;
A881;Epidemic vertigo;1;1;0;
A888;Other specified viral infections of central nervous system;1;1;0;
A89;Unspecified viral infection of central nervous system;1;1;0;
A92;Other mosquito-borne viral fevers;0;0;0;
A920;Chikungunya virus disease;1;1;0;
A921;O'nyong-nyong fever;1;1;0;
A922;Venezuelan equine fever;1;1;0;
A923;West Nile virus infection;1;1;0;
A924;Rift Valley fever;1;1;0;
A925;Zika virus disease;1;1;0;
A928;Other specified mosquito-borne viral fevers;1;1;0;
A929;Mosquito-borne viral fever, unspecified;1;1;0;
A93;Other arthropod-borne viral fevers, not elsewhere classified;0;0;0;
A930;Oropouche virus disease;1;1;0;
A931;Sandfly fever;1;1;0;
A932;Colorado tick fever;1;1;0;
A938;Other specified arthropod-borne viral fevers;1;1;0;
A94;Unspecified arthropod-borne viral fever;1;1;0;
A95;Yellow fever;0;0;0;
A950;Sylvatic yellow fever;1;1;0;
A951;Urban yellow fever;1;1;0;
A959;Yellow fever, unspecified;1;1;0;
A96;Arenaviral haemorrhagic fever;0;0;0;
A960;Junin haemorrhagic fever;1;1;0;
A961;Machupo haemorrhagic fever;1;1;0;
A962;Lassa fever;1;1;0;
A968;Other arenaviral haemorrhagic fevers;1;1;0;
